"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/App.css", "CSS", 0, 0, 37, 0, 0, 6, 43
"/Users/mphelps/climb_w_friends_v2/src/App.tsx", "TypeScript JSX", 9, 0, 0, 0, 32, 4, 45
"/Users/mphelps/climb_w_friends_v2/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/mphelps/climb_w_friends_v2/src/index.css", "CSS", 0, 0, 64, 0, 0, 9, 73
"/Users/mphelps/climb_w_friends_v2/src/main.tsx", "TypeScript JSX", 21, 0, 0, 0, 1, 3, 25
"/Users/mphelps/climb_w_friends_v2/src/pages/home.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 1, 12
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/homeObjects.tsx", "TypeScript JSX", 377, 0, 0, 0, 0, 2, 379
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/maps.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 10, 119
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/mapsComponents/addMapModal.tsx", "TypeScript JSX", 76, 0, 0, 0, 1, 5, 82
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/mapsComponents/editModal.tsx", "TypeScript JSX", 222, 0, 0, 0, 0, 16, 238
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/navBar.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 4, 34
"/Users/mphelps/climb_w_friends_v2/src/pages/login.tsx", "TypeScript JSX", 81, 0, 0, 0, 10, 13, 104
"/Users/mphelps/climb_w_friends_v2/src/pages/map.tsx", "TypeScript JSX", 160, 0, 0, 0, 4, 43, 207
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/activityFeed.tsx", "TypeScript JSX", 59, 0, 0, 0, 1, 9, 69
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/climbModal.tsx", "TypeScript JSX", 141, 0, 0, 0, 1, 11, 153
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapLayers.tsx", "TypeScript JSX", 297, 0, 0, 0, 45, 28, 370
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapNavBar.tsx", "TypeScript JSX", 63, 0, 0, 0, 0, 7, 70
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapObjects.tsx", "TypeScript JSX", 3129, 0, 0, 0, 0, 7, 3136
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalChat.tsx", "TypeScript JSX", 94, 0, 0, 0, 0, 8, 102
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalSearch.tsx", "TypeScript JSX", 99, 0, 0, 0, 1, 12, 112
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalTag.tsx", "TypeScript JSX", 67, 0, 0, 0, 2, 21, 90
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/search.tsx", "TypeScript JSX", 231, 0, 0, 0, 0, 20, 251
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/chatInput.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 4, 38
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/input.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 8, 46
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/purpleButton.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 1, 19
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/searchDropDown.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 6, 50
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/styles.tsx", "TypeScript JSX", 286, 0, 0, 0, 0, 19, 305
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/zincModal.tsx", "TypeScript JSX", 42, 0, 0, 0, 2, 5, 49
"/Users/mphelps/climb_w_friends_v2/src/supaBaseClient.tsx", "TypeScript JSX", 45, 0, 0, 0, 1, 12, 58
"/Users/mphelps/climb_w_friends_v2/src/types/Posts.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"/Users/mphelps/climb_w_friends_v2/src/types/interfaces.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 6, 54
"Total", "-", 5831, 5, 101, 1, 101, 301, 6340
