"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/App.css", "CSS", 0, 37, 0, 0, 6, 43
"/Users/mphelps/climb_w_friends_v2/src/App.tsx", "TypeScript JSX", 9, 0, 0, 32, 4, 45
"/Users/mphelps/climb_w_friends_v2/src/index.css", "CSS", 0, 64, 0, 0, 9, 73
"/Users/mphelps/climb_w_friends_v2/src/main.tsx", "TypeScript JSX", 21, 0, 0, 1, 3, 25
"/Users/mphelps/climb_w_friends_v2/src/pages/home.tsx", "TypeScript JSX", 11, 0, 0, 0, 1, 12
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/homeObjects.tsx", "TypeScript JSX", 377, 0, 0, 0, 2, 379
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/maps.tsx", "TypeScript JSX", 109, 0, 0, 0, 10, 119
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/mapsComponents/addMapModal.tsx", "TypeScript JSX", 76, 0, 0, 1, 5, 82
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/mapsComponents/editModal.tsx", "TypeScript JSX", 222, 0, 0, 0, 15, 237
"/Users/mphelps/climb_w_friends_v2/src/pages/homeComponents/navBar.tsx", "TypeScript JSX", 30, 0, 0, 0, 4, 34
"/Users/mphelps/climb_w_friends_v2/src/pages/login.tsx", "TypeScript JSX", 81, 0, 0, 10, 13, 104
"/Users/mphelps/climb_w_friends_v2/src/pages/map.tsx", "TypeScript JSX", 191, 0, 0, 6, 37, 234
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/activityFeed.tsx", "TypeScript JSX", 59, 0, 0, 1, 9, 69
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/climbModal.tsx", "TypeScript JSX", 148, 0, 0, 1, 11, 160
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapLayers.tsx", "TypeScript JSX", 297, 0, 0, 45, 28, 370
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapNavBar.tsx", "TypeScript JSX", 82, 0, 0, 0, 3, 85
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/mapObjects.tsx", "TypeScript JSX", 316, 0, 0, 0, 13, 329
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/filterModal.tsx", "TypeScript JSX", 123, 0, 0, 2, 14, 139
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalChat.tsx", "TypeScript JSX", 97, 0, 0, 1, 9, 107
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalSearch.tsx", "TypeScript JSX", 75, 0, 0, 9, 14, 98
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/modalComponents/modalTag.tsx", "TypeScript JSX", 79, 0, 0, 2, 10, 91
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/search.tsx", "TypeScript JSX", 120, 0, 0, 0, 21, 141
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/chatInput.tsx", "TypeScript JSX", 34, 0, 0, 0, 4, 38
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/downDrop.tsx", "TypeScript JSX", 40, 0, 0, 0, 5, 45
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/dropDown.tsx", "TypeScript JSX", 77, 0, 0, 0, 16, 93
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/input.tsx", "TypeScript JSX", 38, 0, 0, 0, 8, 46
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/purpleButton.tsx", "TypeScript JSX", 18, 0, 0, 0, 1, 19
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/searchDropDown.tsx", "TypeScript JSX", 44, 0, 0, 0, 6, 50
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/styles.tsx", "TypeScript JSX", 306, 0, 0, 0, 22, 328
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/toolTip.tsx", "TypeScript JSX", 65, 0, 0, 2, 6, 73
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/zincModal.tsx", "TypeScript JSX", 42, 0, 0, 2, 5, 49
"/Users/mphelps/climb_w_friends_v2/src/supaBaseClient.tsx", "TypeScript JSX", 45, 0, 0, 1, 12, 58
"/Users/mphelps/climb_w_friends_v2/src/types/Posts.ts", "TypeScript", 0, 0, 5, 0, 1, 6
"/Users/mphelps/climb_w_friends_v2/src/types/interfaces.tsx", "TypeScript JSX", 51, 0, 0, 0, 6, 57
"Total", "-", 3283, 101, 5, 116, 333, 3838
